aX,aY,aZ,label
-0.19434,-0.03369,-0.92480,4
-0.20251,0.00928,-1.00024,4
-0.16895,-0.08069,-0.98145,4
-0.17578,-0.00659,-1.04688,4
-0.11584,-0.10681,-1.04333,4
-0.12585,-0.06335,-1.12769,4
-0.08630,-0.09949,-0.94592,4
-0.06580,-0.03455,-0.98560,4
-0.08081,0.01501,-0.96375,4
-0.05762,0.02917,-1.00317,4
-0.09607,-0.04321,-0.98022,4
-0.18433,-0.08337,-0.87170,4
-0.32227,-0.33386,-1.08789,4
-0.23376,-0.36292,-0.81897,4
-0.31677,-0.11011,-0.98218,4
-0.35767,-0.14514,-1.14319,4
-0.32361,0.00183,-0.93140,4
-0.33118,-0.01123,-1.02393,4
-0.30322,-0.00024,-0.90698,4
-0.29224,-0.05640,-0.92175,4
-0.26147,-0.07458,-0.95544,4
-0.23730,-0.13892,-0.96887,4
-0.23511,-0.15771,-0.95801,4
-0.25134,-0.15063,-0.88379,4
-0.25500,-0.22754,-0.94360,4
-0.26538,-0.18909,-0.94397,4
-0.24500,-0.14160,-0.92542,4
-0.24683,-0.17273,-0.99060,4
-0.21643,-0.14453,-0.87842,4
-0.17065,-0.13806,-0.97412,4
-0.07910,-0.13477,-1.02454,4
-0.03772,-0.07324,-1.09204,4
0.05505,-0.06177,-0.95813,4
0.09326,-0.06482,-0.94946,4
0.13416,-0.03430,-0.94922,4
0.15710,-0.07764,-0.93701,4
0.18347,-0.12524,-0.93384,4
0.20837,-0.14282,-0.93896,4
0.22925,-0.11951,-0.96973,4
0.23352,-0.12378,-0.93152,4
0.25098,-0.12463,-0.91968,4
0.23645,-0.16260,-0.92346,4
0.23108,-0.22803,-0.89490,4
0.23914,-0.24609,-0.94373,4
0.26404,-0.23596,-0.90039,4
0.25684,-0.25793,-0.96057,4
0.21045,-0.25879,-0.83728,4
0.12415,-0.30103,-0.82068,4
0.02173,-0.25476,-0.99463,4
-0.01306,-0.26221,-0.95325,4
-0.06934,-0.19299,-0.96497,4
-0.12219,-0.21252,-0.95203,4
-0.14966,-0.19641,-0.93628,4
-0.16602,-0.17822,-0.93335,4
-0.17200,-0.15125,-0.97205,4
-0.17798,-0.13525,-0.98035,4
-0.19141,-0.11133,-0.98669,4
-0.20398,-0.08337,-0.97900,4
-0.18945,-0.06873,-0.93445,4
-0.16943,-0.09851,-0.99060,4
-0.14319,-0.11096,-0.95105,4
-0.13586,-0.08154,-1.02454,4
-0.09644,-0.11304,-1.00867,4
-0.05469,-0.10132,-0.95154,4
-0.00439,-0.09778,-0.95435,4
0.01672,-0.08777,-0.97058,4
0.03088,-0.10144,-0.99963,4
0.06262,-0.09229,-1.09766,4
0.09424,-0.09485,-0.98987,4
0.11206,-0.12524,-0.99487,4
0.13757,-0.12634,-0.96350,4
0.14990,-0.21301,-0.96912,4
0.16406,-0.25049,-0.91943,4
0.17041,-0.28320,-0.93567,4
0.15210,-0.36267,-0.97363,4
0.13184,-0.38501,-0.88721,4
0.10620,-0.46655,-0.87512,4
0.08057,-0.53650,-0.83630,4
0.06653,-0.51208,-0.81763,4
0.04883,-0.50879,-0.79810,4
0.02734,-0.55762,-0.82739,4
0.00208,-0.62463,-0.71448,4
-0.04504,-0.66711,-0.71228,4
-0.11230,-0.66272,-0.71521,4
-0.16345,-0.66003,-0.82971,4
-0.18213,-0.59033,-0.84351,4
-0.20203,-0.45703,-0.82190,4
-0.21497,-0.37195,-0.88733,4
-0.22900,-0.21680,-0.93542,4
-0.24097,-0.07007,-0.94409,4
-0.23755,0.03210,-0.92932,4
-0.23474,0.15186,-0.95337,4
-0.22852,0.18359,-0.97339,4
-0.20825,0.27112,-0.95459,4
-0.15796,0.37500,-0.92505,4
-0.11584,0.46680,-0.86658,4
-0.07178,0.56189,-0.77844,4
-0.01904,0.58569,-0.92859,4
0.06921,0.29773,-1.01501,4
0.07983,0.06909,-0.95752,4
0.07129,-0.08472,-0.92627,4
0.08252,-0.22351,-0.95068,4
0.08130,-0.36414,-0.96790,4
0.08423,-0.55261,-0.79199,4
0.04687,-0.69727,-0.63953,4
-0.00159,-0.72546,-0.71167,4
-0.04700,-0.58276,-0.79309,4
-0.10425,-0.40283,-0.94519,4
-0.11853,-0.19043,-0.96655,4
-0.15393,-0.03955,-1.00964,4
-0.16174,0.13611,-1.01855,4
-0.17542,0.22681,-0.91711,4
-0.17444,0.30542,-0.91980,4
-0.17505,0.38452,-0.87097,4
-0.18188,0.45203,-0.85413,4
-0.20483,0.40601,-0.84448,4
-0.26501,0.34729,-0.98401,4
-0.27649,0.19519,-0.87830,4
-0.32019,0.22620,-0.86975,4
-0.37866,0.29639,-0.88867,4
-0.38721,0.26904,-0.88586,4
-0.36389,0.05237,-0.92603,4
-0.36023,-0.10083,-0.93787,4
-0.32410,-0.29504,-0.87878,4
-0.32129,-0.38672,-0.88037,4
-0.29590,-0.43274,-0.78735,4
-0.26599,-0.48779,-0.74475,4
-0.19519,-0.66821,-0.72327,4
-0.12537,-0.66150,-0.80713,4
