aX,aY,aZ,label
-0.08740,1.02124,0.28503,2
-0.13293,0.94434,0.29199,2
-0.06372,1.02148,0.26270,2
-0.11255,0.83740,0.31860,2
-0.10010,0.98560,0.30005,2
-0.13049,0.97205,0.30652,2
-0.09668,0.90845,0.28772,2
-0.11609,0.91028,0.31799,2
-0.12048,0.96643,0.31995,2
-0.10901,0.89343,0.26990,2
-0.12744,0.93127,0.30188,2
-0.14111,0.95044,0.29626,2
-0.13770,0.95215,0.26758,2
-0.12952,0.93616,0.28247,2
-0.12854,0.95288,0.27466,2
-0.13550,0.94141,0.29443,2
-0.13831,0.93103,0.28198,2
-0.14478,0.91357,0.31543,2
-0.15198,0.93579,0.31506,2
-0.16211,0.97534,0.29858,2
-0.14368,0.91443,0.30334,2
-0.15869,0.93530,0.35632,2
-0.15479,0.90417,0.36292,2
-0.15295,0.88538,0.37329,2
-0.15698,0.88660,0.42603,2
-0.16089,0.87427,0.44055,2
-0.15894,0.85754,0.44995,2
-0.15491,0.84741,0.50122,2
-0.16052,0.81384,0.55957,2
-0.15454,0.80359,0.56848,2
-0.15369,0.76074,0.60901,2
-0.15222,0.71301,0.65613,2
-0.14172,0.69983,0.71680,2
-0.14270,0.73657,0.68726,2
-0.15564,0.75671,0.59290,2
-0.14917,0.85071,0.50732,2
-0.16235,0.86975,0.43298,2
-0.16174,0.91919,0.35376,2
-0.16528,0.97546,0.22473,2
-0.17969,0.96240,0.12805,2
-0.17517,0.97131,0.06897,2
-0.16516,0.96704,0.01306,2
-0.17175,0.99121,-0.02478,2
-0.16785,0.98267,-0.09827,2
-0.15601,0.96936,-0.14697,2
-0.15723,0.96802,-0.18884,2
-0.14319,0.93274,-0.20984,2
-0.15503,0.95374,-0.26465,2
-0.15698,0.89319,-0.19983,2
-0.17444,0.96045,-0.07703,2
-0.20276,0.99524,0.02466,2
-0.24817,0.80127,0.00098,2
-0.35620,0.95764,0.08984,2
-0.39209,0.81152,0.13477,2
-0.40308,0.89905,0.10876,2
-0.41113,0.91638,0.22791,2
-0.37988,0.85864,0.23340,2
-0.36121,0.85803,0.32788,2
-0.34106,0.83240,0.37317,2
-0.31714,0.84045,0.43140,2
-0.30139,0.84802,0.45496,2
-0.25208,0.78784,0.54700,2
-0.24341,0.74634,0.58350,2
-0.23352,0.76489,0.66382,2
-0.22925,0.70410,0.63379,2
-0.20471,0.71863,0.65491,2
-0.20142,0.71924,0.69385,2
-0.19446,0.67908,0.71631,2
-0.18115,0.67468,0.70117,2
-0.17712,0.72278,0.66125,2
-0.18445,0.75635,0.60400,2
-0.18799,0.83765,0.56323,2
-0.19006,0.84192,0.48914,2
-0.21045,0.87939,0.40271,2
-0.21216,0.92480,0.37622,2
-0.20483,0.93628,0.30750,2
-0.20117,0.92236,0.27478,2
-0.20496,0.93616,0.23511,2
-0.19202,0.94617,0.14502,2
-0.19214,0.97229,0.10779,2
-0.19080,0.92944,0.11694,2
-0.19812,0.97839,0.27380,2
-0.21252,0.91443,0.35364,2
-0.20496,0.88489,0.37854,2
-0.18323,0.89355,0.35730,2
-0.19922,0.90662,0.34119,2
-0.22754,0.91748,0.35352,2
-0.25610,0.91235,0.40393,2
-0.25049,0.86743,0.45532,2
-0.25427,0.80432,0.53662,2
-0.24158,0.79492,0.51453,2
-0.24084,0.78699,0.54102,2
-0.27478,0.82166,0.47083,2
-0.28516,0.88440,0.42468,2
-0.28210,0.85803,0.40479,2
-0.29480,0.81946,0.33264,2
-0.31116,0.87659,0.37244,2
-0.33936,0.80469,0.41724,2
-0.35815,0.90002,0.41235,2
-0.27417,0.80774,0.38916,2
-0.22644,0.91931,0.31152,2
-0.18530,0.88220,0.31250,2
-0.13464,0.91394,0.31641,2
-0.11548,0.94275,0.29736,2
-0.09436,0.97168,0.28748,2
-0.07190,0.93457,0.26526,2
-0.07703,0.94934,0.33264,2
-0.07434,0.91016,0.38806,2
-0.07617,0.88721,0.46692,2
-0.09692,0.84180,0.48328,2
-0.09277,0.84253,0.46558,2
-0.10999,0.85901,0.46948,2
-0.11890,0.87805,0.52649,2
-0.11841,0.83093,0.58667,2
-0.11462,0.82104,0.56091,2
-0.12683,0.85864,0.53247,2
-0.13257,0.87598,0.48010,2
-0.12769,0.88928,0.45129,2
-0.13342,0.91711,0.40369,2
-0.14001,0.90637,0.36816,2
-0.13293,0.94434,0.32336,2
-0.13928,0.93140,0.31665,2
-0.13379,0.91406,0.33533,2
-0.12659,0.88074,0.39758,2
-0.13025,0.87854,0.45532,2
-0.12341,0.86450,0.48145,2
-0.12964,0.84814,0.51917,2
-0.12573,0.83313,0.53894,2
-0.12903,0.81177,0.55664,2
-0.13477,0.78918,0.50330,2
-0.19104,0.85986,0.49683,2
-0.23547,0.85693,0.53064,2
-0.25281,0.81750,0.51379,2
-0.24902,0.80615,0.55164,2
-0.22925,0.77295,0.61462,2
-0.24170,0.70667,0.65613,2
-0.22888,0.69849,0.67456,2
-0.22119,0.66272,0.71289,2
-0.22412,0.71460,0.70959,2
-0.21423,0.73108,0.60889,2
-0.17432,0.89771,0.67297,2
-0.11707,0.75183,0.48853,2
-0.07788,0.85718,0.49902,2
-0.03943,0.85791,0.50342,2
-0.00464,0.87988,0.43994,2
